timestamp,x,y,z,activity
1729537036157.3466796875,-0.04602050781,-0.11999511718,-0.96704101562,idling
1729537036237.33325195312,-0.0380859375,-0.14147949218,-0.96801757812,idling
1729537036317.16723632812,-0.03759765625,-0.15563964843,-0.96630859375,idling
1729537036397.24536132812,-0.03833007812,-0.15600585937,-0.96240234375,idling
1729537036477.29296875,-0.04077148437,-0.15197753906,-0.96264648437,idling
1729537036557.126953125,-0.04296875,-0.15954589843,-0.9638671875,idling
1729537036637.205078125,-0.04296875,-0.16516113281,-0.96118164062,idling
1729537036717.25268554687,-0.0439453125,-0.15734863281,-0.95788574218,idling
1729537036797.02563476562,-0.04443359375,-0.15161132812,-0.95849609375,idling
1729537036877.16479492187,-0.04150390625,-0.15100097656,-0.96398925781,idling
1729537036957.21240234375,-0.03918457031,-0.15380859375,-0.96545410156,idling
1729537037036.9853515625,-0.0380859375,-0.16247558593,-0.95886230468,idling
1729537037117.12451171875,-0.04272460937,-0.16235351562,-0.95373535156,idling
1729537037197.17211914062,-0.04382324218,-0.15698242187,-0.95544433593,idling
1729537037276.94506835937,-0.03747558593,-0.15539550781,-0.95300292968,idling
1729537037357.08422851562,-0.03625488281,-0.15380859375,-0.95825195312,idling
1729537037437.1318359375,-0.03564453125,-0.15625,-0.96179199218,idling
1729537037516.90478515625,-0.03540039062,-0.16259765625,-0.96130371093,idling
1729537037597.0439453125,-0.03833007812,-0.16552734375,-0.96838378906,idling
1729537037677.09155273437,-0.03771972656,-0.16064453125,-0.970703125,idling
1729537037756.86450195312,-0.03637695312,-0.15942382812,-0.96752929687,idling
1729537037837.00366210937,-0.03881835937,-0.16186523437,-0.96813964843,idling
1729537037917.05126953125,-0.04211425781,-0.16101074218,-0.97155761718,idling
1729537037996.82421875,-0.04150390625,-0.16064453125,-0.97631835937,idling
1729537038076.96337890625,-0.04125976562,-0.15930175781,-0.97119140625,idling
1729537038157.01098632812,-0.04321289062,-0.15673828125,-0.96362304687,idling
1729537038236.78393554687,-0.04309082031,-0.15747070312,-0.96215820312,idling
1729537038316.92309570312,-0.03784179687,-0.15795898437,-0.96362304687,idling
1729537038396.970703125,-0.03430175781,-0.15600585937,-0.96423339843,idling
1729537038476.74365234375,-0.03259277343,-0.15832519531,-0.96667480468,idling
1729537038556.8828125,-0.03503417968,-0.1572265625,-0.96362304687,idling
1729537038636.93041992187,-0.04028320312,-0.15466308593,-0.96948242187,idling
1729537038716.70336914062,-0.04064941406,-0.15661621093,-0.97534179687,idling
1729537038796.84252929687,-0.03662109375,-0.15539550781,-0.95825195312,idling
1729537038876.89013671875,-0.02954101562,-0.1455078125,-0.95446777343,idling
1729537038956.6630859375,-0.02416992187,-0.13562011718,-0.96203613281,idling
1729537039036.80224609375,-0.02172851562,-0.13415527343,-0.96557617187,idling
1729537039116.75830078125,-0.02465820312,-0.13452148437,-0.96826171875,idling
1729537039196.62280273437,-0.0302734375,-0.13049316406,-0.96752929687,idling
1729537039276.76196289062,-0.03283691406,-0.13073730468,-0.97021484375,idling
1729537039356.71801757812,-0.03295898437,-0.13293457031,-0.97875976562,idling
1729537039436.58251953125,-0.03100585937,-0.1318359375,-0.98181152343,idling
1729537039516.7216796875,-0.02697753906,-0.13342285156,-0.97375488281,idling
1729537039596.677734375,-0.02612304687,-0.13525390625,-0.97631835937,idling
1729537039676.54223632812,-0.02673339843,-0.13500976562,-0.98266601562,idling
1729537039756.68139648437,-0.02185058593,-0.1318359375,-0.97521972656,idling
1729537039836.57641601562,-0.01428222656,-0.12915039062,-0.97839355468,idling
1729537039916.501953125,-0.01184082031,-0.13110351562,-0.9794921875,idling
1729537039996.64111328125,-0.02111816406,-0.13928222656,-0.97583007812,idling
1729537040076.5361328125,-0.02856445312,-0.13903808593,-0.97204589843,idling
1729537040156.46166992187,-0.02478027343,-0.13049316406,-0.96923828125,idling
1729537040236.60083007812,-0.01989746093,-0.13073730468,-0.96484375,idling
1729537040316.49584960937,-0.02587890625,-0.13708496093,-0.95751953125,idling
1729537040396.42138671875,-0.02770996093,-0.13696289062,-0.95617675781,idling
1729537040476.560546875,-0.0244140625,-0.13891601562,-0.96813964843,idling
1729537040556.45556640625,-0.02490234375,-0.14306640625,-0.97265625,idling
1729537040636.38110351562,-0.02404785156,-0.14172363281,-0.9736328125,idling
1729537040716.52026367187,-0.02270507812,-0.14221191406,-0.96264648437,idling
1729537040796.41528320312,-0.01892089843,-0.14038085937,-0.96166992187,idling
1729537040876.3408203125,-0.01611328125,-0.14050292968,-0.96862792968,idling
1729537040956.47998046875,-0.01892089843,-0.14379882812,-0.96862792968,idling
1729537041036.375,-0.02026367187,-0.14416503906,-0.97082519531,idling
1729537041116.30053710937,-0.02294921875,-0.13916015625,-0.96765136718,idling
1729537041196.43969726562,-0.02734375,-0.13586425781,-0.96813964843,idling
1729537041276.33471679687,-0.02734375,-0.13952636718,-0.96850585937,idling
1729537041356.26025390625,-0.02416992187,-0.14221191406,-0.96862792968,idling
