timestamp,x,y,z,activity
1729878105691.0009765625,-0.0439453125,-0.12426757812,-0.99523925781,sitting
1729878105771.0791015625,-0.04760742187,-0.10485839843,-1.01342773437,sitting
1729878105851.12670898437,-0.02526855468,-0.11254882812,-1.00927734375,sitting
1729878105930.869140625,-0.02111816406,-0.13171386718,-0.99597167968,sitting
1729878106011.00830078125,-0.01928710937,-0.13757324218,-0.982421875,sitting
1729878106091.11694335937,-0.01416015625,-0.13928222656,-0.97399902343,sitting
1729878106170.859375,-0.009765625,-0.1337890625,-0.96594238281,sitting
1729878106250.99853515625,-0.00769042968,-0.12805175781,-0.96228027343,sitting
1729878106331.015625,-0.00671386718,-0.12854003906,-0.96459960937,sitting
1729878106410.9716796875,-0.00830078125,-0.12976074218,-0.96374511718,sitting
1729878106490.95825195312,-0.01770019531,-0.13488769531,-0.98327636718,sitting
1729878106571.005859375,-0.0166015625,-0.13793945312,-0.98486328125,sitting
1729878106650.80932617187,-0.01086425781,-0.13842773437,-0.96899414062,sitting
1729878106730.85693359375,-0.00708007812,-0.140625,-0.9677734375,sitting
1729878106810.96557617187,-0.00744628906,-0.13854980468,-0.97351074218,sitting
1729878106890.76904296875,-0.00659179687,-0.13549804687,-0.97717285156,sitting
1729878106970.87768554687,-0.00512695312,-0.13415527343,-0.9716796875,sitting
1729878107050.89477539062,-0.00549316406,-0.13134765625,-0.97119140625,sitting
1729878107130.85083007812,-0.00354003906,-0.13525390625,-0.97192382812,sitting
1729878107210.92895507812,-0.00170898437,-0.14135742187,-0.97229003906,sitting
1729878107290.70190429687,-0.00390625,-0.13989257812,-0.97351074218,sitting
1729878107370.78002929687,-0.00390625,-0.13720703125,-0.9677734375,sitting
1729878107450.91918945312,-0.00073242187,-0.13903808593,-0.96411132812,sitting
1729878107530.69213867187,-0.00134277343,-0.13781738281,-0.96240234375,sitting
1729878107610.77026367187,-0.00378417968,-0.13623046875,-0.96154785156,sitting
1729878107690.87890625,-0.00695800781,-0.13659667968,-0.96228027343,sitting
1729878107770.65185546875,-0.00842285156,-0.13354492187,-0.96154785156,sitting
1729878107850.60791015625,-0.00598144531,-0.13110351562,-0.96228027343,sitting
1729878107930.89965820312,-0.0048828125,-0.13415527343,-0.96362304687,sitting
1729878108010.73364257812,-0.01062011718,-0.13659667968,-0.96533203125,sitting
1729878108090.537109375,-0.01220703125,-0.1376953125,-0.96716308593,sitting
1729878108170.76782226562,-0.0078125,-0.13720703125,-0.96691894531,sitting
1729878108250.5712890625,-0.0087890625,-0.1318359375,-0.96484375,sitting
1729878108330.43579101562,-0.015625,-0.13342285156,-0.96069335937,sitting
1729878108410.78857421875,-0.0166015625,-0.13623046875,-0.96179199218,sitting
1729878108490.53100585937,-0.01586914062,-0.13720703125,-0.95043945312,sitting
1729878108570.45654296875,-0.01049804687,-0.13916015625,-0.96325683593,sitting
1729878108650.74829101562,-0.00598144531,-0.13684082031,-0.96826171875,sitting
1729878108730.49072265625,-0.0048828125,-0.13366699218,-0.96435546875,sitting
1729878108810.41625976562,-0.00744628906,-0.13012695312,-0.96142578125,sitting
1729878108890.67749023437,-0.00964355468,-0.12951660156,-0.96850585937,sitting
1729878108970.419921875,-0.01391601562,-0.13439941406,-0.97375488281,sitting
1729878109050.3759765625,-0.01379394531,-0.13671875,-0.96899414062,sitting
1729878109130.66772460937,-0.00952148437,-0.13464355468,-0.966796875,sitting
1729878109210.34912109375,-0.00756835937,-0.1337890625,-0.9677734375,sitting
1729878109290.3662109375,-0.00354003906,-0.13537597656,-0.96411132812,sitting
1729878109370.62744140625,0.00146484375,-0.13720703125,-0.95825195312,sitting
1729878109450.55297851562,0.00073242187,-0.13903808593,-0.95764160156,sitting
1729878109530.32592773437,-0.005859375,-0.14099121093,-0.96032714843,sitting
1729878109610.58715820312,-0.01110839843,-0.14392089843,-0.96484375,sitting
1729878109690.23803710937,-0.01037597656,-0.14428710937,-0.96691894531,sitting
1729878109770.43823242187,-0.01208496093,-0.13928222656,-0.966796875,sitting
1729878109850.57739257812,-0.01391601562,-0.134765625,-0.966796875,sitting
1729878109930.19775390625,-0.00854492187,-0.13269042968,-0.966796875,sitting
1729878110010.24536132812,-0.00708007812,-0.13171386718,-0.96789550781,sitting
1729878110090.537109375,-0.00646972656,-0.13342285156,-0.96618652343,sitting
1729878110170.18798828125,-0.0029296875,-0.13513183593,-0.96655273437,sitting
1729878110250.205078125,-0.00244140625,-0.13500976562,-0.9697265625,sitting
1729878110330.49682617187,-0.00109863281,-0.13696289062,-0.96838378906,sitting
